"","Rank","Title","Genre","Director","Actor"
"1",1,"Once Upon a Time... in Hollywood","Comedy","Quentin Tarantino","Leonardo DiCaprio"
"2",2,"Star Wars: The Rise of Skywalker","Action","J.J. Abrams","Daisy Ridley"
"3",3,"Joker","Crime","Todd Phillips","Joaquin Phoenix"
"4",4,"It Chapter Two","Horror","Andy Muschietti","Jessica Chastain"
"5",5,"Ready or Not","Horror","Matt Bettinelli-Olpin","Samara Weaving"
"6",6,"Angel Has Fallen","Action","Ric Roman Waugh","Gerard Butler"
"7",7,"Terminator: Dark Fate","Action","Tim Miller","Mackenzie Davis"
"8",8,"Avengers: Endgame","Action","Anthony Russo","Robert Downey Jr."
"9",9,"The King","Biography","David Michôd","Timothée Chalamet"
"10",10,"Good Boys","Adventure","Gene Stupnitsky","Jacob Tremblay"
"11",11,"Ad Astra","Adventure","James Gray","Brad Pitt"
"12",12,"John Wick: Chapter 3 - Parabellum","Action","Chad Stahelski","Keanu Reeves"
"13",13,"Aladdin","Adventure","Guy Ritchie","Will Smith"
"14",14,"Fast & Furious Presents: Hobbs & Shaw","Action","David Leitch","Dwayne Johnson"
"15",15,"Dark Phoenix","Action","Simon Kinberg","James McAvoy"
"16",16,"Lady and the Tramp","Animation","Charlie Bean","Tessa Thompson"
"17",17,"The Lion King","Animation","Jon Favreau","Donald Glover"
"18",18,"Godzilla: King of the Monsters","Action","Michael Dougherty","Kyle Chandler"
"19",19,"Hustlers","Comedy","Lorene Scafaria","Constance Wu"
"20",20,"Scary Stories to Tell in the Dark","Horror","André Øvredal","Zoe Margaret Colletti"
"21",21,"Rocketman","Biography","Dexter Fletcher","Taron Egerton"
"22",22,"Saaho","Action","Sujeeth","Prabhas"
"23",23,"The Peanut Butter Falcon","Adventure","Tyler Nilson","Shia LaBeouf"
"24",24,"Rambo: Last Blood","Action","Adrian Grunberg","Sylvester Stallone"
"25",25,"Men in Black: International","Action","F. Gary Gray","Chris Hemsworth"
"26",26,"Downton Abbey","Drama","Michael Engler","Matthew Goode"
"27",27,"Midsommar","Drama","Ari Aster","Florence Pugh"
"28",28,"Spider-Man: Far from Home","Action","Jon Watts","Tom Holland"
"29",29,"Brightburn","Horror","David Yarovesky","Elizabeth Banks"
"30",30,"Falling Inn Love","Comedy","Roger Kumble","Christina Milian"
"31",31,"Lucy in the Sky","Drama","Noah Hawley","Zazie Beetz"
"32",32,"Bombshell","Biography","Jay Roach","Margot Robbie"
"33",33,"The Aeronauts","Action","Tom Harper","Felicity Jones"
"34",34,"Gisaengchung","Comedy","Bong Joon Ho","Kang-ho Song"
"35",35,"Alita: Battle Angel","Action","Robert Rodriguez","Rosa Salazar"
"36",36,"The Fanatic","Thriller","Fred Durst","John Travolta"
"37",37,"The Laundromat","Drama","Steven Soderbergh","Meryl Streep"
"38",38,"The Irishman","Biography","Martin Scorsese","Robert De Niro"
"39",39,"The Secret Life of Pets 2","Animation","Chris Renaud","Patton Oswalt"
"40",40,"47 Meters Down: Uncaged","Adventure","Johannes Roberts","Sophie Nélisse"
"41",41,"Ma","Horror","Tate Taylor","Octavia Spencer"
"42",42,"Noelle","Comedy","Marc Lawrence","Anna Kendrick"
"43",43,"Overcomer","Drama","Alex Kendrick","Alex Kendrick"
"44",44,"Dora and the Lost City of Gold","Adventure","James Bobin","Isabela Moner"
"45",45,"Booksmart","Comedy","Olivia Wilde","Kaitlyn Dever"
"46",46,"Shazam!","Action","David F. Sandberg","Zachary Levi"
"47",47,"The Banana Splits Movie","Comedy","Danishka Esterhazy","Dani Kind"
"48",48,"The Dead Don't Die","Comedy","Jim Jarmusch","Bill Murray"
"49",49,"The Goldfinch","Drama","John Crowley","Nicole Kidman"
"50",50,"The Hustle","Comedy","Chris Addison","Anne Hathaway"
